년도,전체,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도
2011,443,27,16,27,23,31,5,18,0,58,19,21,25,27,86,33,17,10
2012,984,119,41,43,36,34,28,29,0,126,38,55,78,52,140,71,73,21
2013,1195,54,60,33,14,51,22,85,0,93,43,54,45,77,170,138,181,75
2014,561,39,19,22,22,19,19,31,4,64,33,23,18,25,69,36,101,17
2015,1056,50,34,52,32,55,25,60,4,115,71,60,59,74,120,79,128,38
2016,2124,170,112,38,101,91,64,53,11,358,92,108,146,123,187,136,225,109
2017,1574,107,64,28,54,72,46,34,4,217,75,114,121,115,195,106,141,81
2018,4526,616,208,122,258,118,82,104,13,937,203,209,252,238,322,312,436,96
2019,1841,107,101,33,68,43,25,30,16,342,96,111,133,94,198,195,204,45
2020,1079,38,52,26,27,39,18,26,2,176,50,54,59,71,117,119,139,66
2021,1376,121,45,32,92,32,27,32,14,271,55,54,83,93,110,124,126,65
2022,1564,110,53,29,69,20,24,26,26,353,62,49,135,97,124,142,152,93
