³â,Æø¿°ÀÏ¼ö,Æò±Õ ÃÖ°í±â¿Â(¡É),Æò±Õ±â¿Â
1973,14.3,17.8,13.1
1974,4.8,16.9,12.1
1975,9,17.8,13.2
1976,2.8,17.1,12.4
1977,10,18,13
1978,14.7,18.5,13.5
1979,5,18.3,13.5
1980,0.6,16.7,12
1981,7.7,17.1,12.2
1982,7.4,18.3,13.3
1983,10.2,17.9,13.1
1984,12.3,17.5,12.5
1985,13.7,17.4,12.8
1986,5.2,17.1,12.2
1987,1.9,17.9,13
1988,10.4,17.9,13
1989,4.3,18.4,13.7
1990,16.4,18.4,13.9
1991,3.7,17.9,13.2
1992,6,18.1,13.5
1993,0.1,17.3,12.8
1994,29.6,19.1,14.4
1995,10.4,18,13.2
1996,15.7,17.9,13
1997,11.9,18.7,13.7
1998,2.5,18.9,14.4
1999,5.2,18.3,13.9
2000,11.1,18.1,13.6
2001,11.6,18.4,13.8
2002,5.4,18.1,13.7
2003,1.3,17.7,13.3
2004,14.8,19,14
2005,9.7,17.9,13.1
2006,13.5,18.3,13.7
2007,8.9,18.7,14.2
2008,11.2,18.5,13.9
2009,3.6,18.6,13.8
2010,12.2,17.9,13.4
2011,6.5,17.7,13.1
2012,14,17.6,13.1
2013,16.6,18.4,13.7
2014,6.6,18.6,14
2015,9.6,18.8,14.2
2016,22,18.9,14.3
2017,13.5,18.7,13.9
2018,31,18.6,13.8
2019,12.9,19,14.4
2020,7.7,18.4,14
2021,11.8,18.8,14.5
2022,10.6,18.6,14.1
