년도,평균,서울,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도
1973,14.3,7,0,42,3,15,12,29,,7.5,12.1,15,11.3,14.5,9.7,28.7,16.3,0.7
1974,4.8,2,0,18,0,7,4,6,,1.7,3.7,4,3.8,6.3,4,10,5.1,1.7
1975,9,9,1,27,3,6,10,14,,5.7,6,6.4,8.8,11.3,6.6,19,8.7,1.3
1976,2.8,2,0,19,0,2,2,8,,1.2,2.3,1.2,1.3,3.8,0.9,8.9,2.1,1.7
1977,10,11,3,22,2,14,14,14,,8.3,9.3,10.2,10.8,13.3,8.4,14.6,9.9,3
1978,14.7,13,3,42,6,21,19,28,,11.3,11.7,14,14.5,22.8,12,24.9,15.9,2
1979,5,0,1,13,0,7,5,11,,2.2,4.7,3.6,4,6.5,6,8.3,6.4,1.3
1980,0.6,0,0,6,0,0,0,3,,0,1.1,0.4,0,0,0,2.6,0.3,0
1981,7.7,5,0,21,3,12,9,12,,4.8,9,6.8,7.2,8.2,8.3,14.4,7.3,2.7
1982,7.4,6,0,19,2,9,10,8,,5.7,7.3,9.6,8,6.2,6.4,12.9,8.1,1.3
1983,10.2,5,3,24,2,12,15,16,,6.7,8.7,8.6,10,12.7,8.7,17.7,11.6,3.3
1984,12.3,8,5,21,5,13,16,17,,13.2,11.9,14.6,14.8,17.2,8.1,15.9,12,1
1985,13.7,11,7,32,2,11,18,17,,11.2,13.7,14.4,15.7,18.2,8.6,18.9,15.6,2
1986,5.2,0,0,14,0,4,6,12,,2.8,3.9,4,4.2,6,3.7,9,7.9,1
1987,1.9,0,0,8,0,0,3,4,,2.3,2.4,2,1.3,1.5,0.6,4,2,1.7
1988,10.4,13,1,23,5,12,18,10,,11.5,7.7,12.4,12.5,14.7,5.7,11.6,10.2,1.3
1989,4.3,4,1,11,2,9,8,8,,4.3,2.4,4.4,7,7.7,2.4,5.1,3.7,0.8
1990,16.4,11,10,34,0,21,20,26,,9.8,8.1,18.2,16.7,17.7,15.1,19.4,22.6,5
1991,3.7,4,1,11,2,6,7,3,,4.3,3.2,4.2,4.3,6.1,2.9,3.1,2.9,1.8
1992,6,0,0,22,0,8,10,14,,1.2,1.9,5.4,6.7,7.4,3.6,10.8,7.7,2.3
1993,0.1,0,0,3,0,0,0,0,,0,0,0,0.2,0,0,0.3,0,0.5
1994,29.6,29,10,60,19,45,43,40,,26.7,19,28.8,32.2,29.4,26.3,40.1,30.7,5.5
1995,10.4,3,0,35,1,12,12,27,,4,4.6,7.6,8.7,11.6,5.7,20.2,13.5,4
1996,15.7,7,10,39,6,17,22,20,,12.7,8.7,15.6,18.2,15.7,9.1,22.7,18.7,4
1997,11.9,16,4,33,7,13,16,13,,13.3,10.3,8.2,15.3,8.7,6.4,18.8,10.6,2
1998,2.5,0,0,11,1,6,3,8,,0.7,1.9,1,2,4.3,0.9,3.4,3.7,4.5
1999,5.2,14,0,9,9,6,7,0,,9.8,6.7,4.2,7.2,7.6,0.9,4.6,2.5,0
2000,11.1,18,3,16,11,10,14,8,,12.5,11.6,10,12.2,10.7,2.6,15.5,11.3,2.3
2001,11.6,4,10,23,10,18,11,15,,7.2,8.1,12,12.8,13.7,7.1,15.8,13.3,4.3
2002,5.4,3,1,22,4,8,3,8,,3.5,3.8,3.4,4,5.1,1.7,7.8,9.5,1
2003,1.3,0,0,5,0,0,0,7,,0.2,0.9,0,0.3,2,0,1.9,3,3.5
2004,14.8,10,2,28,5,21,19,20,,9.5,9.1,14.4,15.7,16.9,13,17.9,18.9,8
2005,9.7,6,0,26,4,18,6,18,,7.2,8.7,6,6.8,9.9,6.3,13.5,13.6,3.3
2006,13.5,7,10,27,0,14,11,22,,8.2,7.3,12.8,10,18.6,11.6,17.2,17.7,2.8
2007,8.9,4,0,23,0,12,5,20,,3,5.8,5,6.8,12,5.1,12.1,14.5,2
2008,11.2,3,0,36,1,18,3,13,,5.7,7,10.6,7.5,11.7,6.4,18.4,15.3,2.3
2009,3.6,4,0,18,0,6,0,4,,3,3,1.8,1,4.1,1,5.8,5.8,2.5
2010,12.2,2,3,41,1,20,10,20,,5.7,8.7,10.2,9.8,14.1,5.1,21.6,14.9,3.8
2011,6.5,3,1,29,0,13,1,7,,4,5.3,2,4.3,7.7,6.9,10.5,6.8,3.5
2012,14,14,7,30,9,25,17,16,,14.7,9.2,12.4,14.5,16.4,11.7,17.2,14.6,3
2013,16.6,2,13,54,0,22,16,37,,6.7,8.7,11,11.3,20.6,16.3,26.6,21.5,13.5
2014,6.6,10,0,22,2,8,5,10,,7.5,6.9,6.2,4.2,3.9,2,11.5,7.3,1
2015,9.6,8,1,21,1,14,12,16,,8.2,7.9,10.2,6.7,10.3,4.9,13.6,11.7,2
2016,22,24,9,32,8,31,29,14,,20.5,14.8,26.4,22,25.4,18.6,23.8,24.8,8.3
2017,13.5,13,6,33,2,29,14,19,,8.8,7.7,10.6,9.3,12.1,11.4,19.4,20.9,11.8
2018,31,35,18,40,20,43,37,23,,31.2,22.8,36,32.8,34.7,26,33.4,32.8,9
2019,12.9,15,3,29,9,12,18,8,11,14.2,11.1,15.2,12.3,12,7.7,17.4,12.8,1.5
2020,7.7,4,4,31,1,13,13,11,10,3.5,6.4,6.2,6.5,6.9,5.7,12.4,9.5,3.8
2021,11.8,18,3,23,8,14,21,7,16,15,11.6,14.2,16,10.9,5.3,12,11.3,3.8
2022,10.6,10,1,45,2,19,22,10,15,6.7,7.2,10.6,11.2,8.4,5.1,18.5,12.3,9.3
