요소,평균기온(℃),평균 최고기온(℃),상대습도 관측값(%),폭염일수,이산화탄소 농도(ppm)
1980년,12,16.7,68.9,0.6,338.91
1981년,12.2,17.1,67.1,7.7,340.11
1982년,13.3,18.3,66.9,7.4,340.86
1983년,13.1,17.9,67.2,10.2,342.53
1984년,12.5,17.5,66.9,12.3,344.07
1985년,12.8,17.4,70.2,13.7,345.54
1986년,12.2,17.1,68,5.2,346.97
1987년,13,17.9,68.1,1.9,348.68
1988년,13,17.9,65.3,10.4,351.16
1989년,13.7,18.4,68.7,4.3,352.78
1990년,13.9,18.4,70.2,16.4,354.05
1991년,13.2,17.9,66.3,3.7,355.39
1992년,13.5,18.1,67.4,6,356.1
1993년,12.8,17.3,68.5,0.1,356.84
1994년,14.4,19.1,64.2,29.6,358.33
1995년,13.2,18,64.4,10.4,360.18
1996년,13,17.9,63.3,15.7,361.93
1997년,13.7,18.7,63.9,11.9,363.05
1998년,14.4,18.9,66.4,2.5,365.7
1999년,13.9,18.3,64.7,5.2,367.8
2000년,13.6,18.1,64.5,11.1,368.97
2001년,13.8,18.4,63.1,11.6,370.57
2002년,13.7,18.1,64.1,5.4,372.59
2003년,13.3,17.7,66.8,1.3,375.15
2004년,14,19,61.6,14.8,376.95
2005년,13.1,17.9,61.1,9.7,378.97
2006년,13.7,18.3,63.6,13.5,381.14
2007년,14.2,18.7,65,8.9,382.9
2008년,13.9,18.5,63.5,11.2,385.02
2009년,13.8,18.6,63.6,3.6,386.5
2010년,13.4,17.9,65.5,12.2,388.76
2011년,13.1,17.7,63.4,6.5,390.63
2012년,13.1,17.6,62.5,14,392.65
2013년,13.7,18.4,64.8,16.6,395.39
2014년,14,18.6,67.7,6.6,397.34
2015년,14.2,18.8,67.8,9.6,399.65
2016년,14.3,18.9,67.4,22,403.09
2017년,13.9,18.7,62.7,13.5,405.22
2018년,13.8,18.6,62.8,31,407.61
2019년,14.4,19,62.4,12.9,410.07
2020년,14,18.4,65.4,7.7,412.44
2021년,14.5,18.8,65.6,11.8,414.71
2022년,14.1,18.6,64.8,10.6,417.06
