년도 ,1998년 ,1999년 ,2000년 ,2001년,2002년,2003년,2004년,2005년,2006년,2007년,2008년,2009년,2010년,2011년,2012년,2013년,2014년,2015년,2016년,2017년,2018년,2019년,2020년,2021년
서울특별시,0,"561,000",0,,"610,004",0,"48,400",0,0,0,0,,"4,523,471",0,"795,352",0,0,0,0,0,0,"63,000",900,0
부산광역시,"298,402","88,500","3,486,652",,"12,764,369","321,846,717","1,446,522","7,489,443","255,246",0,0,,"301,369",0,"1,117,089","9,798","2,029","12,941","38,345,031",0,"7,105,043","1,931,608","8,648,016","1,198,130"
대구광역시,"4,986,073","2,715,599","256,578",,"4,305,660","71,743,921","1,658,214","6,288",,"79,431",0,,0,0,"21,925",0,0,0,0,0,"19,190","28,971","21,669",0
인천광역시,0,"10,220","218,838",,"696,272",0,"145,703",0,0,0,"105,000",,"5,105,826","688,192","4,641,212",0,"15,000",0,"4,318",0,0,"10,403,903","155,318",0
광주광역시,"446,865","561,500","82,907",,"5,172,856","835,988","9,734,636",0,0,"68,976",0,,"15,000","125,341","17,637,916",0,26,0,0,0,0,"25,893","629,260",0
대전광역시,0,0,"68,144",,"699,751","36,502","945,938",0,0,0,0,,0,"2,587","339,447",0,0,0,0,0,0,"1,466","79,904",0
울산광역시,"4,635,789","1,000","863,554",,"7,421,753","104,592,718","1,899,560","30,869,211","25,904","364,365",0,,0,0,"4,223,126",0,,"1,259,655","61,249,796",0,"565,876","2,996,476","4,774,305","2,431,802"
경기도,0,"25,381","620,560",,"11,230,553",0,"5,856,356","697,837",0,0,"129,834",,"35,288,395","490,598","11,239,550",0,"3,000",0,0,0,0,"5,920,947","1,853,993",0
강원도,"1,448,946","11,234,751","14,421,558",,"2,535,104,903","770,814,597","51,255,319","5,397,443","6,480,746","71,195",0,,"742,135",,"6,323,536",0,0,"3,699,976",0,0,"1,921,877","32,742,509","73,472,647","29,044"
충청북도,"407,870",0,"5,668,579",,"160,499,852","38,451,320","24,445,082","7,034,267",0,"16,990","280,633",,"97,152","487,604","15,011,758",0,0,0,0,0,"5,355","863,491","2,335,127",0
충청남도,"500,599","291,916","1,795,973",,"36,434,443","432,247","6,335,030","15,377,745",0,"79,400","272,029",,"109,725,023","1,077,885","44,914,772",0,0,0,0,0,"9,591","5,653,282","896,670",0
전라북도,"4,712,265","1,368,120","199,619",,"292,850,868","17,573,904","12,651,435","18,688",0,"72,393","70,197",,"4,927,004","78,071,369","104,157,292",0,"13,334",0,0,,"204,253","2,387,970","1,625,531","61,262"
전라남도,"26,122,323","424,542","2,990,644",,"393,574,164","274,120,161","124,375,620","3,628","16,071","62,014,784",0,,"8,057,658","85,096,985","403,993,391",0,"2,888,644",0,"6,747,595",0,"15,027,708","19,497,171","2,241,376","52,000"
경상북도,"175,053,911","60,102,030","36,416,611",,"867,498,269","677,593,076","64,515,725","68,265,320","4,845,530","4,713,760",0,,"55,580","46,057","136,428,030","3,612",0,"8,431,565","20,145,056",0,"25,602,469","116,889,601","98,873,712","15,240,426"
경상남도,"55,483,773","7,919,981","78,896,660",,"796,528,887","1,907,201,947","33,800,421","2,818,936","180,685","15,063,013",0,,"949,291","47,298,403","193,512,765","1,353,014","2,151,887",0,"68,839,775",0,"11,747,665","10,818,083","20,376,003","2,073,785"
제주특별자치도,"774,998","44,241","262,173",,"60,335,726","48,148,328","2,447,807","525,000",0,"78,324,758",0,,"2,718,512","4,929,088","59,140,626","323,360","217,375",0,"19,633,359",0,"1,990,544","2,543,934","6,533,467",0
